run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
81.88267364314972,85.96187914015229,41.634306198008446,51.62772146186421,65.95850923487687,46.9455338008901,84.61036370096502,49.23657253301227,109.83329028174727,71.91620301179495
93.3083522138036,94.03199188069695,43.62261844822806,55.941104746699956,69.39700133908784,50.361886946611826,85.72283448481052,58.502670999265966,105.97155332934926,75.27993208717793
99.48506578945096,110.68384441281219,54.439927282262786,79.23986878112926,96.19144487000722,64.2974389135093,123.32316810542058,70.37062212538,125.5429570981279,109.95119353984047
104.346911498781,118.14849825849873,64.00706471186128,95.73115149860635,90.01904798975828,82.57595701728076,159.74194334402964,88.20715348338037,135.89055605857564,123.85114565619129
115.3487978821216,127.27619234497902,67.83416618573985,116.79047496765233,108.11619294221906,97.6311447573146,221.31609277322409,101.39988546788172,134.84224622890272,180.15231372434062
129.55606064647336,130.92384201078676,89.37047172162124,135.44141599917842,147.85683754867785,117.85394270161527,232.65176824182137,104.23503923921989,138.30987360006205,220.84411984888683
129.7780321242684,128.31897499526343,118.64221548602559,148.3541551095585,157.7665826782318,135.34529144036614,299.40293136857264,119.90491236332021,153.4138572590568,243.10244282712006
147.03030692324637,145.17037652477111,122.40561395454425,154.69783116243534,229.36423075196964,143.31203796962066,451.5221933974614,129.0892047485733,164.8967470121788,368.5827474467281
173.38675209158285,156.54246129543728,127.62197389947862,174.78579158414956,343.11291447863397,186.71787079236606,513.3158228027119,152.98130625119018,158.90716116831103,441.5829970873898
188.6265617893862,175.88179371564195,155.44124336337558,192.14990241858158,375.9029244939632,220.03994678499242,614.9821771170092,167.55141507866568,205.889109064956,502.2238448555672
183.2533465028617,193.10372279985347,184.1070782934845,221.51199820004106,468.485437529126,218.811792827045,709.776602860333,171.31789576090816,225.1410948127637,608.543821697344
198.1763010615083,195.59737985337122,201.04026430004637,263.07361997292577,537.2058629209815,296.8719484587338,761.1451219298394,177.36817699930927,276.7402506474101,710.825055051267
285.51867021802957,207.84231910357573,258.7110049964074,311.2853945799831,530.120909926186,337.5392331276527,777.4998598446646,232.29906461718753,396.55242068223066,685.7378482101715
281.07355018876723,244.9337436008344,266.277133208512,314.84993871220473,645.2930485015385,368.9710048328579,750.7403276539392,236.33496924945322,481.9514304198097,789.3861083221099
339.0798289281676,237.1704235792364,390.28258409145207,410.02292973634496,611.0519557918885,562.6091286733722,885.2524921902829,305.9788060797433,613.5812871754803,797.9877796608348
517.570479055066,258.6660175317178,471.75198207367214,461.06237616396754,660.1942234563883,623.3914012986609,890.4685975004885,387.5459055837743,638.0148401404114,806.2939762195899
643.9833048936962,306.56291980290035,672.7638861220627,580.7632253866936,678.6253575875188,746.622280051986,833.6083380156326,430.91040206075496,699.2601539589007,897.5689914881851
632.7194675098427,340.22178212824724,752.1438933354218,719.8084614680251,744.3027720614455,779.4644452949237,924.5630814923022,546.8732228718344,701.2197507228886,910.6201159743506
682.2554119673576,408.0510171072098,797.1882814350711,726.6929012470247,809.6371749359049,875.8973229276248,940.7506635637975,685.7984816102078,803.3015583821192,895.5656055678731
