run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
-85.1975784821734,-189.18783645576931,-248.60836545849887,-271.24462760579223,-151.58139920699884,-64.27624287595212,-61.20078744434292,-160.1323746668769,-288.42117550119787,-272.2272758936429
30.166902202895646,-39.32488339252276,-131.446632452288,-246.30426476033398,-94.77618273055596,107.21116475511444,-19.58290462829521,-96.79567468537655,-162.80413171686212,-119.90140391223558
107.43593386514343,104.1400194756542,74.71148289761071,-194.237560089247,-26.507152524237863,154.97973596344622,170.5524543831527,12.238964349343062,31.773576554912413,-3.69058451547817
145.87539903636434,244.76441233999645,113.97799894603273,-70.4930001613411,78.89821737550713,190.59258626177518,325.17099424557614,82.32360012410176,278.11818991007004,67.95475967967703
206.7133339048581,429.8714097643039,212.07039035304612,33.10961712814865,146.70091056101163,206.05333918629947,435.33561281714486,115.39900322390714,399.10880306280984,103.39836317751707
277.4915576116622,535.4935999130844,266.0344855181972,121.15380581238823,168.84226352090494,271.30727770686605,544.4833903502675,160.12815325647375,427.35856135371176,170.91099118131797
255.1942970768377,721.5335140172722,345.35477340684736,216.4921094976323,165.61868078735074,306.892369872247,679.3783632482676,232.59307689267845,483.39007922222123,201.59123534113758
373.89136059740576,688.5186404401564,322.8313141637104,232.52483953448163,249.28386530091817,311.56841881366313,758.8420215640845,331.7675533743293,531.555579398709,227.5749167609121
416.38696348763494,891.6874919334468,428.22183773645037,251.65802491341657,387.9805594012997,390.5076421723081,879.2912544886811,426.9795475125482,613.0767801428558,241.1684359469362
431.94851543633683,953.3017700163488,457.84152773193847,249.22918095379453,423.8686426156671,429.9529056601936,965.4573218297393,488.8439146453192,641.4370837413145,256.16580987776376
531.8996615406289,1030.6070916866202,512.4037153152913,221.89273093830639,483.104385876549,518.9856214739451,1010.4708988724235,478.9095425274761,669.0605827123271,325.55167220202384
679.7435534708353,988.0523098226387,535.0469498499423,241.91954529431737,453.097504895666,589.9617093900147,1028.810990753605,550.0068905027916,731.0342010309616,378.84786150712523
699.5297047175418,1115.6347856408097,547.1430688306592,309.428879404046,454.1683388257569,584.7691054436655,1085.973349483647,630.6404471426864,732.8732463296274,366.0949161241212
697.2212788005203,1157.9814602522686,570.4868679030293,316.93650432126367,519.841726807063,628.0591070475066,1081.1833267698803,648.9572447824758,797.0326516268273,378.19603583928347
808.4148221060957,1196.6927078582555,556.1095465859621,408.2221005082168,484.3083591296017,670.8871735062203,1065.61692037922,670.3821345834499,817.9683115727166,370.95352579489054
854.0384742300258,1215.9031471807311,543.1911857209096,375.73118770963475,524.9150084168776,704.3800368009287,1174.7075967242968,701.2901409194028,784.6644170327246,412.08055146686667
779.7247403723339,1258.2539295548015,628.4335560750633,358.4662604326291,531.9931363154501,689.1836903963762,1230.803712932754,770.8523035659038,865.1514515005937,422.498672553071
776.5927239128932,1327.9593421579345,547.1788421252733,415.6431163798677,601.0420221635846,791.9007415708603,1262.0305923035319,734.261255274547,852.6802268943696,501.0613771825802
888.8418262502589,1414.6906404551444,640.3518947587509,465.4769505640363,580.0087459550344,847.759510603321,1320.1970829365214,759.3787716788063,920.9928438167184,459.0045859559583
932.2115305975104,1418.1690867184243,613.9346829249647,479.8348234093465,574.4401706594181,876.3447304670318,1361.5044195262765,792.2405949335629,954.7582282325535,491.62273060943636
1015.766520562668,1413.662293729102,597.7382105309596,477.65336477236434,566.8364929016028,870.5186579642215,1351.398270811861,805.5153196966862,959.2247022101144,473.93809270871736
1004.4942570240787,1449.946185140234,479.6536829003247,533.9784628734741,524.5072013594755,861.3259105644838,1332.4924447880264,816.074886379755,995.8198768000047,412.3261992093056
1097.793673661155,1538.7006172202055,497.259173581016,494.21292855089234,462.4492595905898,919.4424815662387,1353.4172214600494,846.5840558627355,981.4716555702672,484.3849132732959
966.5596560553297,1543.9908716617983,501.0609773399338,475.02557109877404,633.0369590859699,913.5543831750688,1355.2812660154261,784.316666084087,1004.4334400023154,515.9940334401804
1104.1488645138363,1531.8639025137686,544.3334218647071,548.8834372332036,640.8112621441625,933.7386141219918,1447.1713395073252,872.4871394014474,1032.5141121285012,470.3385221926
1004.9246820270953,1472.1079338543605,580.9268117774973,517.8861925326423,712.4797530757979,822.0415636832947,1479.7346986783673,839.0054328448473,1071.6069419340254,547.0012256716059
1059.1302374137522,1524.0137544617492,542.5985170643772,517.0624637303729,624.2320165934743,983.828363863669,1494.4851053098419,856.2820975370872,1095.396909509634,539.0413303431468
1105.3448476392482,1575.193225895025,662.498786763248,538.9265881786864,681.0231005927143,1009.2262463804336,1532.5037629171266,915.6334392856656,1094.0683632952885,493.42858369764025
1106.8792207509925,1665.613515527701,651.6018390107912,546.1470252994233,702.4451169533122,1044.3123507732664,1496.0598573435086,963.2118068516263,1062.8508029316251,498.082228583267
1194.4355005574769,1594.1661529606445,725.484487088335,587.2575434700234,720.0390184420728,1066.9908674082392,1561.1433736101394,987.17193966866,1117.2101747981926,534.5360822596849
1242.4548565637035,1580.0335492684135,709.5498974762091,593.3446441988166,793.74983775263,925.468476473362,1522.9398222700988,964.085827475959,1120.7896993956988,583.9597201019851
1230.3306204915934,1594.4419747065854,716.6774747427767,634.9587525006688,744.4312656545001,1115.669359545889,1603.706358701857,996.3223990564003,1150.3165915401553,499.5584604947885
1284.1021786013134,1657.8872834307788,687.1922847407752,646.6671140760864,712.3246008818749,1047.4005846883817,1620.4453544731894,1002.5487705496107,1117.152537772199,588.0148142623374
